"","exon","WT1","WT2","WT3","WT+M1","WT+M2","WT+M2","KO-0-1","KO-0-2","KO-1-1","KO-1-2","KO-2-1","KO-2-2","KO-3-1","KO-3-2","KO-4-1","KO-4-2"
"46","chr1:1045359-1045523",0.112449799196787,0.134194831013916,0.193343898573693,0.159059474412171,0,0.124,0.144312393887946,0.103734439834025,0.116677653263019,0.118421052631579,0.13911620294599,0.12,0.112382934443288,0.111213235294118,0.140065146579805,0.0949208992506245
"47","chr1:1045964-1046088",0.127710843373494,0.127236580516899,0.13946117274168,0.120331950207469,0.139492753623188,0.102,0,0.184647302904564,0.137771918259723,0.132894736842105,0.147299509001637,0.118461538461538,0.189386056191467,0.147058823529412,0,0.130724396336386
"48","chr1:1046820-1046957",0.0257028112449799,0,0.0332805071315372,0.033195020746888,0,0,0,0,0.036914963744232,0,0,0,0,0,0,0
"49","chr1:1047201-1047454",0.281927710843373,0.245526838966203,0.307448494453249,0.291839557399723,0.286231884057971,0.314,0.32258064516129,0.340248962655602,0.245880026367831,0.231578947368421,0.216857610474632,0.205384615384615,0.353798126951093,0.260110294117647,0.464169381107492,0.246461282264779
"50","chr1:10472323-10472529",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"51","chr1:10474950-10475002",0.569105691056911,0.574468085106383,0.60655737704918,0.583333333333333,0.728395061728395,0.647058823529412,0.682926829268293,0.765625,0.605263157894737,0.592592592592593,0.638888888888889,1,0.530120481927711,0.563380281690141,0.597014925373134,0.637931034482759
"52","chr1:10495274-10495321",0.430894308943089,0.425531914893617,0.39344262295082,0.416666666666667,0.271604938271605,0.352941176470588,0.317073170731707,0.234375,0.394736842105263,0.407407407407407,0.361111111111111,0,0.469879518072289,0.436619718309859,0.402985074626866,0.362068965517241
"53","chr1:1049903-1050037",0,0.0288270377733598,0,0,0.0452898550724638,0.036,0.0458404074702886,0,0.023731048121292,0.0506578947368421,0,0.0561538461538462,0.0447450572320499,0.0422794117647059,0,0.0574521232306411
"54","chr1:1050233-1050329",0,0,0,0,0,0,0,0.045643153526971,0,0,0,0,0,0,0,0
"55","chr1:1051453-1051645",0.193574297188755,0.192842942345924,0,0.183955739972337,0.284420289855072,0.22,0.215619694397284,0.16597510373444,0.182597231377719,0.167105263157895,0.216039279869067,0.178461538461538,0,0.202205882352941,0,0.203996669442132
"56","chr1:1059687-1060393",1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0
"57","chr1:10649283-10649437",0,0,0,0,0,0,0,0,0,0,0,0,0.277777777777778,0,0,0.316455696202532
"58","chr1:10650941-10651100",0.199300699300699,0.194312796208531,0.484848484848485,0.190751445086705,0,0.233576642335766,0,0,0,0,0,0,0,0,0,0.120253164556962
"59","chr1:10659702-10661398",0.482517482517482,0.421800947867299,0,0.549132947976879,0.658119658119658,0.452554744525547,0.696078431372549,0,0.575,0,0,0.784090909090909,0.555555555555556,0.615384615384615,0.758620689655172,0.379746835443038
"60","chr1:10694297-10694479",0.0524475524475524,0.0521327014218009,0,0.0635838150289017,0,0.116788321167883,0,0,0.0916666666666667,0.275,0.379310344827586,0,0,0.125,0,0
"61","chr1:107688381-107688528",1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1
"62","chr1:10796564-10796650",0.265734265734266,0.33175355450237,0.515151515151515,0.196531791907514,0.341880341880342,0.197080291970803,0.303921568627451,1,0.333333333333333,0.725,0.620689655172414,0.215909090909091,0.166666666666667,0.259615384615385,0.241379310344828,0.183544303797468
"63","chr1:108198493-108200849",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"64","chr1:108560089-108560565",1,1,1,1,1,1,1,1,1,1,1,1,0.351351351351351,1,1,1
"65","chr1:108624645-108628584",0,0,0,0,0,0,0,0,0,0,0,0,0.648648648648649,0,0,0
"66","chr1:108660963-108661180",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"67","chr1:108692310-108692867",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"68","chr1:1087139-1087636",0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0
"69","chr1:108746674-108746786",0.614814814814815,1,0.597315436241611,1,0.491017964071856,0.574468085106383,1,1,1,0.622516556291391,0.440298507462687,1,1,1,1,0.717948717948718
"70","chr1:108752257-108752306",0,0,0,0,0,0,0,0,0,0,0.253731343283582,0,0,0,0,0.282051282051282
"71","chr1:108758510-108758588",0.385185185185185,0,0.402684563758389,0,0.508982035928144,0.425531914893617,0,0,0,0.377483443708609,0.305970149253731,0,0,0,0,0
"72","chr1:108876737-108877228",0.148148148148148,1,0,0,0,0,0.204379562043796,0,0.254545454545455,0,1,1,0,0,0,0
"73","chr1:108877256-108877774",0,0,0,0,0,0,0.102189781021898,0,0,0,0,0,0,0,0,0
"74","chr1:108884821-108885578",0.851851851851852,0,1,1,1,1,0.693430656934307,1,0.745454545454545,0,0,0,1,1,1,1
"75","chr1:108961301-108963527",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"76","chr1:108963361-108963484",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"77","chr1:109010916-109011718",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"78","chr1:109023355-109023521",0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1
"79","chr1:109041862-109042113",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"80","chr1:109074987-109075065",0,0,0,0,0,0.483333333333333,0,0,0,0,0,0,0,0.369047619047619,0.433962264150943,0
"81","chr1:109075746-109076012",0,1,1,1,1,0.516666666666667,1,1,1,1,0,1,1,0.630952380952381,0.566037735849057,1
"82","chr1:109090764-109090882",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"83","chr1:109114107-109114336",0.128614916286149,0.170611439842209,0.211594202898551,0.188607594936709,0.146080760095012,0.159712230215827,0.101219512195122,0.0647058823529412,0.174183514774495,0.235378031383738,1,1,0.22568093385214,0.196330275229358,0.157509157509158,0.267175572519084
"84","chr1:109164499-109164691",0.871385083713851,0.829388560157791,0.788405797101449,0.811392405063291,0.853919239904988,0.840287769784173,0.898780487804878,0.935294117647059,0.825816485225505,0.764621968616263,0,0,0.77431906614786,0.803669724770642,0.842490842490842,0.732824427480916
"85","chr1:109213918-109214128",1,1,1,1,1,1,0.565255731922399,1,1,1,1,1,1,1,1,1
"86","chr1:109228352-109228432",0,0,0,0,0,0,0.434744268077601,0,0,0,0,0,0,0,0,0
"87","chr1:109249539-109253389",0.104294478527607,0.160550458715596,0.233009708737864,0.159420289855072,0.158273381294964,0.144444444444444,0.0957446808510638,0,1,0.236641221374046,0.522727272727273,0.365384615384615,0.1,0.130434782608696,0.0859375,0.204225352112676
"88","chr1:109261042-109261264",0.291411042944785,0.284403669724771,0.436893203883495,0.427536231884058,0.244604316546763,0.311111111111111,0.141843971631206,0.393939393939394,0,0.404580152671756,0,0,0.216666666666667,0.333333333333333,0.1171875,0.232394366197183
"89","chr1:109264078-109264365",0.165644171779141,0.206422018348624,0.330097087378641,0,0.244604316546763,0.222222222222222,0.0780141843971631,0.181818181818182,0,0.358778625954198,0,0,0.3,0.231884057971014,0.203125,0.21830985915493
"90","chr1:109264454-109264628",0,0,0,0,0,0,0.297872340425532,0,0,0,0,0,0,0,0,0
"91","chr1:109268581-109268764",0.276073619631902,0.348623853211009,0,0.41304347826087,0.352517985611511,0,0.269503546099291,0,0,0,0,0,0.383333333333333,0,0.171875,0.345070422535211
"92","chr1:109269110-109269290",0.162576687116564,0,0,0,0,0.322222222222222,0.117021276595745,0,0,0,0.477272727272727,0.634615384615385,0,0.304347826086957,0.171875,0
"93","chr1:109271217-109271722",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0
"94","chr1:109272278-109273027",0,0,0,0,0,0,0,0.424242424242424,0,0,0,0,0,0,0,0
"95","chr1:109282518-109283186",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"96","chr1:109369530-109369589",0.495652173913044,0.472222222222222,0.445652173913043,0.490909090909091,0.447761194029851,0.573770491803279,0.602409638554217,0.578125,0.493506493506494,0.428571428571429,0.470588235294118,0.377358490566038,0.472222222222222,0.482142857142857,0.433962264150943,0
"97","chr1:109397587-109397918",0.504347826086956,0.527777777777778,0.554347826086957,0.509090909090909,0.552238805970149,0.426229508196721,0.397590361445783,0.421875,0.506493506493506,0.571428571428571,0.529411764705882,0.622641509433962,0.527777777777778,0.517857142857143,0.566037735849057,1
"98","chr1:109426302-109426448",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"99","chr1:109483479-109484080",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"100","chr1:109485546-109486610",1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1
"101","chr1:109490271-109490392",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"102","chr1:109494052-109494287",1,0.732142857142857,1,1,1,1,1,1,1,1,1,0.631578947368421,1,1,0.647058823529412,1
"103","chr1:109494520-109494623",0,0,0,0,0,0,0,0,0,0,0,0.368421052631579,0,0,0,0
"104","chr1:109495143-109495180",0,0.267857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0.352941176470588,0
"105","chr1:109509420-109509738",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"106","chr1:109548615-109548838",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"107","chr1:109656099-109656425",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"108","chr1:109668022-109668151",0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109","chr1:109668425-109668848",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
"110","chr1:109668925-109668989",0,0,0,0,0,0,0,0,0,0,0.784313725490196,0,0,0,0,0
"111","chr1:109670659-109671382",0.333333333333333,0,0,0,1,0,0,0,0,0,0.215686274509804,0,0,0,0,0
"112","chr1:109739833-109740516",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"113","chr1:109914259-109914381",0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0
"114","chr1:109984765-109985543",0.96594427244582,0.973640856672158,1,0.9739336492891,1,0.962864721485411,1,1,1,0.96551724137931,0.966257668711656,0.943462897526502,0.954545454545455,0.967359050445104,0.954385964912281,0.96231884057971
"115","chr1:110004131-110004451",0.0340557275541796,0.0263591433278418,0,0.0260663507109005,0,0.0371352785145889,0,0,0,0.0344827586206897,0.0337423312883436,0.0565371024734982,0.0454545454545455,0.0326409495548961,0.0456140350877193,0.0376811594202899
"116","chr1:110034624-110034817",1,0.396396396396396,0.484375,0.525,0.412698412698413,0.538461538461538,0.590163934426229,0.403846153846154,0,0.382978723404255,0.275,1,0.36,0.382352941176471,0.431818181818182,0.297297297297297
"117","chr1:110037891-110038244",0,0.603603603603604,0.515625,0.475,0.587301587301587,0.461538461538462,0.409836065573771,0.596153846153846,1,0.617021276595745,0,0,0.64,0.617647058823529,0.568181818181818,0.702702702702703
"118","chr1:110046680-110046751",0,0,0,0,0,0,0,0,0,0,0.725,0,0,0,0,0
"119","chr1:11012622-11012743",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"120","chr1:110191972-110192213",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121","chr1:110338506-110342690",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"122","chr1:110347116-110347887",0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
"123","chr1:110406318-110407942",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"124","chr1:11059225-11059686",0.694473409801877,0,0,0.697289156626506,0.703862660944206,0.720792079207921,0,0.762295081967213,0,0.678423236514523,0,0,0.723112128146453,0.717451523545706,0.707894736842105,0.740825688073395
"125","chr1:11059777-11060020",0.305526590198123,1,1,0.302710843373494,0.296137339055794,0.279207920792079,1,0.237704918032787,1,0.321576763485477,1,1,0.276887871853547,0.282548476454294,0.292105263157895,0.259174311926606
"126","chr1:11082534-11082623",0.0266666666666667,0,0,0,0,0,0,0,0,0,0.0582010582010582,0,0,0,0,0
"127","chr1:110963621-110963965",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"128","chr1:11099430-11099910",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"129","chr1:11099721-11099869",0.973333333333333,1,1,1,1,1,1,1,1,1,0.941798941798942,1,1,1,1,1
"130","chr1:111137523-111137586",0.451807228915663,0.527777777777778,0.457142857142857,0.489655172413793,0.47741935483871,0.593406593406593,0.482954545454545,0.401960784313726,0.584158415841584,0.546875,0,0.53125,0.578512396694215,0.553571428571429,0.6,0.528089887640449
"131","chr1:111139501-111140203",0.548192771084337,0.472222222222222,0.542857142857143,0.510344827586207,0.52258064516129,0.406593406593407,0.517045454545455,0.598039215686274,0.415841584158416,0.453125,1,0.46875,0.421487603305785,0.446428571428571,0.4,0.471910112359551
"132","chr1:111140217-111140307",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"133","chr1:111199623-111200243",0,0,0,0,0,0,0,0,0.788732394366197,0.826666666666667,0,0,0.776315789473684,0,0,0
"134","chr1:111200393-111200646",0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0
"135","chr1:111204146-111204535",1,1,1,1,1,1,0.75,1,0.211267605633803,0.173333333333333,1,1,0.223684210526316,1,1,1
"136","chr1:111448619-111448891",0,1,1,1,1,0,0,1,1,0.836538461538462,0.772151898734177,0,0.80952380952381,1,1,1
"137","chr1:111449055-111449256",0,0,0,0,0,0,0,0,0,0.163461538461538,0.227848101265823,1,0.19047619047619,0,0,0
"138","chr1:111449195-111449581",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"139","chr1:111473792-111474030",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"140","chr1:111619777-111619934",0.0273972602739726,0,0,0.0291777188328912,0,0,0.0402843601895735,0.0369127516778524,0,0,0,0,0,0,0,0
"141","chr1:111627469-111627563",0.0319634703196347,0,0.0465116279069767,0.0503978779840849,0,0,0.042654028436019,0.0402684563758389,0.0390879478827362,0.0362537764350453,0.104838709677419,0,0,0.0700389105058366,0,0.0503597122302158
"142","chr1:111691334-111691417",0.584474885844749,0.579462102689487,0.588039867109635,0.554376657824934,0.563685636856369,0.529197080291971,0.554502369668246,0.526845637583893,0.55700325732899,0.561933534743202,0,1,0.574468085106383,0.513618677042802,0.602564102564103,0.571942446043165
"143","chr1:111695341-111695409",0.356164383561644,0.420537897310513,0.365448504983389,0.36604774535809,0.436314363143631,0.470802919708029,0.362559241706161,0.395973154362416,0.403908794788274,0.401812688821752,0.895161290322581,0,0.425531914893617,0.416342412451362,0.397435897435897,0.377697841726619
"144","chr1:111739186-111739403",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"145","chr1:111739579-111740098",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"146","chr1:111755732-111756225",0.178743961352657,0.137931034482759,0.233766233766234,0.231481481481481,0.166666666666667,0.151515151515152,0.198473282442748,0.122222222222222,0.183673469387755,0.382978723404255,0.318181818181818,0.254545454545455,0.238805970149254,0,0.25,0
"147","chr1:111756646-111756740",0.821256038647343,0.862068965517241,0.766233766233766,0.768518518518518,0.833333333333333,0.848484848484849,0.801526717557252,0.877777777777778,0.816326530612245,0.617021276595745,0.681818181818182,0.745454545454545,0.761194029850746,1,0.75,1
"148","chr1:112396214-112396272",0.17910447761194,1,0,0.282608695652174,0,0,0.207547169811321,0,0,1,1,1,0.245283018867925,0,0,0.1875
"149","chr1:112412194-112412317",0.82089552238806,0,0,0.717391304347826,0.492307692307692,1,0.792452830188679,0,1,0,0,0,0.754716981132076,1,1,0.8125
"150","chr1:112448942-112449172",0,0,0,0,0.507692307692308,0,0,0,0,0,0,0,0,0,0,0
"151","chr1:11259248-11259450",1,1,0.853333333333333,1,1,1,1,1,1,0.865853658536585,1,0.813559322033898,1,0.806451612903226,1,1
"152","chr1:112616813-112617286",0,0.505882352941176,0.595744680851064,0,0,0.526315789473684,0,0.568965517241379,0.368421052631579,0.66,1,0,0.6,0.609375,0.524590163934426,0
"153","chr1:112618784-112619189",1,0.494117647058824,0.404255319148936,1,1,0.473684210526316,1,0.431034482758621,0.631578947368421,0.34,0,1,0.4,0.390625,0.475409836065574,1
"154","chr1:112619805-112619883",0.607438016528926,0.634831460674157,0.660714285714286,0.632183908045977,0.584615384615385,0.629059829059829,0.625152625152625,0.60655737704918,0.649779735682819,0.676814988290398,0.711370262390671,0.661538461538462,0.635204081632653,0.618138424821002,0.663865546218487,0.577937649880096
"155","chr1:11262222-11262556",0,0,0.146666666666667,0,0,0,0,0,0,0.134146341463415,0,0.186440677966102,0,0.193548387096774,0,0
"156","chr1:112647210-112647273",0.392561983471074,0.365168539325843,0.339285714285714,0.367816091954023,0.415384615384615,0.370940170940171,0.374847374847375,0.39344262295082,0.350220264317181,0.323185011709602,0.288629737609329,0.338461538461538,0.364795918367347,0.381861575178998,0.336134453781513,0.422062350119904
"157","chr1:112674421-112674729",0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0
"158","chr1:112674737-112675049",1,1,1,0,1,0.435616438356164,0.386243386243386,0.406896551724138,0,0,0.888888888888889,0,0,0.449704142011834,0.494117647058824,1
"159","chr1:112694749-112695574",0,0,0,0,0,0.564383561643836,0.613756613756614,0.593103448275862,0,0,0,0,0,0.550295857988166,0.505882352941176,0
"160","chr1:112704640-112706252",0,0.604037267080745,0.605940594059406,0,0,0,0.687392055267703,0,0,0.56231884057971,0.474164133738602,0,0,0,0,0.589442815249267
"161","chr1:112706732-112707434",1,0.395962732919255,0.394059405940594,1,1,1,0.312607944732297,1,1,0.43768115942029,0.525835866261398,1,1,1,1,0.410557184750733
"162","chr1:112713497-112713611",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"163","chr1:112714058-112715332",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"164","chr1:11273198-11274060",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"165","chr1:112929048-112929352",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
"166","chr1:113073198-113073645",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"167","chr1:113093206-113093280",0,0,0,0.318181818181818,0,0,0,0,0,0,0,0,0,0,0,0
"168","chr1:113096222-113096365",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"169","chr1:113112479-113112760",0,0,0,0.681818181818182,0,0,0,0,0,0,0,0,0,0,0,0
"170","chr1:113390515-113391349",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"171","chr1:113724759-113724893",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"172","chr1:113758659-113759489",0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"173","chr1:113811710-113812476",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"174","chr1:113904605-113904844",0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0
"175","chr1:113904921-113905201",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"176","chr1:113905213-113905775",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"177","chr1:113929710-113929939",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"178","chr1:114464270-114464388",0.829268292682927,0.724409448818898,0.808823529411765,0.860215053763441,0.822429906542056,0,0.803418803418803,0.819672131147541,0.815217391304348,0,0.735294117647059,0,0.815789473684211,0.772727272727273,0.775,0.826086956521739
"179","chr1:114510551-114511203",0.170731707317073,0.275590551181102,0.191176470588235,0.139784946236559,0.177570093457944,1,0.196581196581197,0.180327868852459,0.184782608695652,1,0.264705882352941,1,0.184210526315789,0.227272727272727,0.225,0.173913043478261
"180","chr1:114581499-114581629",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"181","chr1:114716658-114716771",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"182","chr1:114757830-114758027",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"183","chr1:114780110-114780685",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"184","chr1:115058883-115058981",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"185","chr1:11520687-11520848",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"186","chr1:115641970-115642086",0.18705035971223,0.214285714285714,0.189873417721519,0.107843137254902,0.159574468085106,0.154761904761905,0.183673469387755,0.168316831683168,0,0.253164556962025,1,1,0.241379310344828,1,0.263157894736842,0.17
"187","chr1:115651277-115651484",0.81294964028777,0.785714285714286,0.810126582278481,0.892156862745098,0.840425531914894,0.845238095238095,0.816326530612245,0.722772277227723,1,0.746835443037975,0,0,0.758620689655172,0,0.736842105263158,0.83
"188","chr1:115671045-115671337",0,0,0,0,0,0,0,0.108910891089109,0,0,0,0,0,0,0,0
"189","chr1:11609468-11610113",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"190","chr1:116373244-116373523",0.434210526315789,1,0.452173913043478,0.46975546975547,0.463414634146341,0.423853211009174,0.461538461538462,0.41923774954628,0.265412748171369,1,1,1,0.341666666666667,1,1,1
