ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
23	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	48142	92040	92100	40641	40872	95173	95232	23	1,0	34,26	1,0,1	59,50,18	209	298	1	1.0	0.04,0.0	0.024,0.0,0.073	-0.012
24	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	47913	48142	63816	64019	45542	45769	95173	95232	24	11,4	34,26	14,13,11	61,52,20	298	298	0.566075977019	1.0	0.244,0.133	0.187,0.2,0.355	-0.059
34	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	63816	64019	92040	92100	40641	40872	95173	95232	34	1,0	9,6	1,0,1	12,11,10	209	298	1	1.0	0.137,0.0	0.106,0.0,0.125	-0.008
35	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	63816	64019	92040	92100	46655	48142	95173	95232	35	5,4	17,6	6,3,3	17,14,12	209	298	0.506868653729	1.0	0.295,0.487	0.335,0.234,0.263	0.114
37	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	63816	64019	88536	89058	46851	48142	95173	95232	37	6,0	17,6	4,4,5	17,14,12	298	298	0.561692117299	1.0	0.261,0.0	0.19,0.222,0.294	-0.105
38	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	63816	64019	94558	94829	46851	48142	95173	95232	38	0,0	17,6	2,0,0	17,14,12	298	298	1	1.0	0.0,0.0	0.105,0.0,0.0	-0.035
41	"ENSG00000301761.1"	"ENSG00000301761"	chrGL000218.1	-	88536	89058	94558	94829	46851	48142	95173	95232	41	0,0	6,0	2,0,0	4,4,5	298	298	1	1.0	0.0,NA	0.333,0.0,0.0	-0.111
57	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	143416	143629	149088	149164	142142	142240	151954	152034	57	1,6	0,2	1,0,2	2,0,1	298	225	1	1.0	1.0,0.694	0.274,NA,0.602	0.409
58	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	143416	143629	149088	149175	142142	142240	151954	152034	58	1,6	0,2	1,0,2	2,0,1	298	236	1	1.0	1.0,0.704	0.284,NA,0.613	0.403
59	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	143416	143629	149088	149164	142142	142240	172693	172897	59	1,6	0,2	1,0,2	2,0,1	298	225	1	1.0	1.0,0.694	0.274,NA,0.602	0.409
60	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	143416	143629	151954	152034	142142	142240	172693	172897	60	1,6	0,0	1,0,2	1,0,0	298	229	1	1.0	1.0,1.0	0.435,NA,1.0	0.282
63	"ENSG00000308185.1"	"ENSG00000308185"	chrGL000195.1	+	149088	149164	151954	152034	142142	142240	172693	172897	63	0,2	0,0	2,0,1	1,0,0	225	229	1	1.0	NA,1.0	0.671,NA,1.0	0.164
89	"ENSG00000185973.12"	"TMLHE"	chrX	-	155492356	155492495	155506897	155507134	155489010	155491666	155511672	155511792	89	70,51	20,5	56,68,41	19,14,10	298	288	0.387033137697	0.9280753965823726	0.772,0.908	0.74,0.824,0.798	0.053
90	"ENSG00000071889.17"	"FAM3A"	chrX	-	154507405	154507490	154507810	154507861	154507202	154507329	154508288	154508347	90	1,2	170,118	2,0,1	219,162,118	200	234	1	1.0	0.007,0.019	0.011,0.0,0.01	0.006
91	"ENSG00000071889.17"	"FAM3A"	chrX	-	154507405	154507490	154507810	154507882	154507202	154507329	154508288	154508347	91	1,0	170,118	1,0,1	219,162,118	221	234	1	1.0	0.006,0.0	0.005,0.0,0.009	-0.002
92	"ENSG00000071889.17"	"FAM3A"	chrX	-	154507810	154507861	154508288	154508347	154507405	154507490	154508473	154508597	92	15,18	42,22	34,29,33	62,35,25	208	200	0.212733185774	0.7375600402753051	0.256,0.44	0.345,0.443,0.559	-0.101
93	"ENSG00000071889.17"	"FAM3A"	chrX	-	154508473	154508597	154511847	154511871	154508288	154508347	154512822	154512936	93	13,10	13,15	27,29,17	30,16,27	173	273	0.618124975822	1.0	0.612,0.513	0.587,0.741,0.498	-0.046
94	"ENSG00000071889.17"	"FAM3A"	chrX	-	154511847	154511871	154512822	154512936	154508473	154508597	154515759	154515812	94	98,45	3,6	115,108,69	5,5,11	263	173	0.682533391452	1.0	0.956,0.831	0.938,0.934,0.805	0.001
95	"ENSG00000196924.19"	"FLNA"	chrX	-	154350908	154351041	154351580	154351696	154350030	154350207	154351883	154352021	95	972,769	1394,981	1803,1517,1140	1965,1438,1112	265	282	0.00247996295712	0.06528656201330618	0.426,0.455	0.494,0.529,0.522	-0.075
96	"ENSG00000196924.19"	"FLNA"	chrX	-	154353553	154353727	154353914	154354043	154353295	154353457	154354150	154354291	96	1290,869	1616,1117	2214,1741,1376	2607,2028,1704	278	298	0.530518766208	1.0	0.461,0.455	0.477,0.479,0.464	-0.015
97	"ENSG00000196924.19"	"FLNA"	chrX	-	154365348	154365486	154366023	154366224	154365135	154365259	154366307	154366470	97	517,465	747,480	1041,700,593	1419,1062,883	298	287	0.160206482987	0.6555014783694266	0.4,0.483	0.414,0.388,0.393	0.043
99	"ENSG00000147394.20"	"ZNF185"	chrX	+	152922172	152922256	152928574	152928661	152920706	152920748	152931671	152931776	99	170,105	94,71	147,79,83	50,52,62	233	236	0.625073744888	1.0	0.647,0.6	0.749,0.606,0.576	-0.02
100	"ENSG00000147394.20"	"ZNF185"	chrX	+	152922719	152922809	152928574	152928661	152922172	152922256	152931671	152931776	100	139,77	145,111	72,49,31	85,92,99	239	236	0.0514766000359	0.3902274196914704	0.486,0.407	0.455,0.345,0.236	0.101
101	"ENSG00000147394.20"	"ZNF185"	chrX	+	152932872	152932971	152936417	152936513	152931671	152931776	152938073	152938163	101	390,280	21,26	277,209,188	13,11,13	248	245	0.253863167895	0.7954646845598993	0.948,0.914	0.955,0.949,0.935	-0.015
102	"ENSG00000147394.20"	"ZNF185"	chrX	+	152959698	152959896	152963838	152963949	152945266	152945464	152965446	152965527	102	146,125	151,108	110,107,84	98,113,53	298	260	0.545005861764	1.0	0.458,0.502	0.495,0.452,0.58	-0.029
103	"ENSG00000147394.20"	"ZNF185"	chrX	+	152963838	152963949	152965446	152965527	152959698	152959896	152967166	152967238	103	230,129	155,103	147,148,100	99,109,63	260	230	0.688181199124	1.0	0.568,0.526	0.568,0.546,0.584	-0.019
108	"ENSG00000101974.15"	"ATP11C"	chrX	-	139774689	139774953	139782546	139782728	139768259	139768434	139783163	139783267	108	40,33	34,29	75,57,37	24,33,17	298	298	0.00630068566474	0.11873641402858146	0.541,0.532	0.758,0.633,0.685	-0.156
109	"ENSG00000165675.20"	"ENOX2"	chrX	-	130679541	130679748	130688862	130689018	130669964	130670198	130703119	130703254	109	31,45	65,47	49,39,29	61,42,47	298	298	0.619109808475	1.0	0.323,0.489	0.445,0.481,0.382	-0.03
110	"ENSG00000165675.20"	"ENOX2"	chrX	-	130783546	130783690	130887213	130887740	130703119	130703254	130901683	130901731	110	0,0	55,32	0,0,1	76,56,26	298	293	1	1.0	0.0,0.0	0.0,0.0,0.036	-0.012
111	"ENSG00000165675.20"	"ENOX2"	chrX	-	130809170	130809261	130887213	130887740	130783546	130783690	130901683	130901731	111	0,0	4,0	0,0,1	0,0,1	298	240	1	1.0	0.0,NA	NA,NA,0.446	-0.446
114	"ENSG00000125676.20"	"THOC2"	chrX	-	123668158	123668314	123671668	123671761	123667105	123667278	123686547	123686714	114	65,31	122,72	63,73,56	168,150,117	242	298	0.566815211359	1.0	0.396,0.346	0.316,0.375,0.371	0.017
115	"ENSG00000125676.20"	"THOC2"	chrX	-	123686547	123686714	123703453	123703505	123671668	123671761	123706857	123706949	115	20,16	116,69	37,38,14	148,129,96	201	298	0.439391991256	0.9734589295777315	0.204,0.256	0.27,0.304,0.178	-0.021
116	"ENSG00000125676.20"	"THOC2"	chrX	-	123686547	123686714	123706857	123706949	123671668	123671761	123712849	123712908	116	44,39	116,68	64,79,39	147,129,95	241	298	0.760096356895	1.0	0.319,0.415	0.35,0.431,0.337	-0.006
118	"ENSG00000018610.15"	"STEEP1"	chrX	-	119544352	119544491	119545462	119545504	119542504	119542594	119560267	119560385	118	37,40	196,134	47,42,27	216,160,144	191	288	0.778620123195	1.0	0.222,0.31	0.247,0.284,0.22	0.016
119	"ENSG00000102024.19"	"PLS3"	chrX	+	115610802	115610921	115614152	115614534	115610242	115610323	115622245	115622409	119	1,6	0,1	0,0,1	0,1,0	268	298	1	1.0	1.0,0.87	NA,0.0,1.0	0.435
121	"ENSG00000101901.13"	"ALG13"	chrX	+	111689086	111689197	111708964	111709048	111684964	111685103	111711674	111711725	121	2,0	5,8	0,0,1	7,11,7	260	233	0.714770461918	1.0	0.264,0.0	0.0,0.0,0.113	0.094
122	"ENSG00000101901.13"	"ALG13"	chrX	+	111721602	111721711	111723797	111723898	111720094	111720170	111724933	111725061	122	14,18	14,14	8,10,18	19,13,13	258	250	0.3249973933	0.8739208987150261	0.492,0.555	0.29,0.427,0.573	0.094
123	"ENSG00000101901.13"	"ALG13"	chrX	+	111727613	111727770	111728184	111728305	111727331	111727445	111730394	111730427	123	22,12	26,11	33,25,13	22,19,17	298	270	0.416807574023	0.9583307539656402	0.434,0.497	0.576,0.544,0.409	-0.044
126	"ENSG00000123562.18"	"MORF4L2"	chrX	-	103678498	103678620	103684680	103684729	103676825	103677051	103685170	103685260	126	128,114	1607,1177	187,149,111	1420,1114,799	198	271	0.000521053388455	0.022472285217118394	0.098,0.117	0.153,0.155,0.16	-0.048
129	"ENSG00000102385.13"	"DRP2"	chrX	+	101242903	101243098	101245016	101245077	101242324	101242471	101245387	101245449	129	1,5	4,7	7,5,3	4,3,2	298	210	0.0436760850293	0.35904988629147105	0.15,0.335	0.552,0.54,0.514	-0.293
130	"ENSG00000000003.16"	"TSPAN6"	chrX	-	100632484	100632568	100633404	100633539	100630758	100630866	100633930	100634029	130	48,32	61,24	41,51,31	41,36,23	284	233	0.372532531838	0.9168862998427106	0.392,0.522	0.451,0.538,0.525	-0.048
133	"ENSG00000072133.12"	"RPS6KA6"	chrX	-	84119884	84120027	84134781	84134819	84117383	84117454	84135103	84135210	133	19,9	18,21	13,12,6	34,8,15	187	292	0.730131630378	1.0	0.622,0.401	0.374,0.701,0.384	0.025
134	"ENSG00000198157.11"	"HMGN5"	chrX	-	81118431	81118485	81118729	81118759	81116203	81116341	81119787	81119817	134	12,9	58,25	3,4,5	38,41,28	179	203	0.0223620963215	0.24945829207550274	0.19,0.29	0.082,0.1,0.168	0.123
135	"ENSG00000198157.11"	"HMGN5"	chrX	-	81118431	81118485	81118729	81118780	81116203	81116341	81119787	81119817	135	1,1	58,25	1,0,0	38,41,28	200	203	0.518343753944	1.0	0.017,0.039	0.026,0.0,0.0	0.019
136	"ENSG00000198157.11"	"HMGN5"	chrX	-	81118729	81118780	81119787	81119817	81118431	81118485	81121534	81121688	136	9,8	29,22	8,11,3	32,25,15	179	200	0.785086578565	1.0	0.257,0.289	0.218,0.33,0.183	0.029
137	"ENSG00000102158.22"	"MAGT1"	chrX	-	77853900	77853964	77855500	77855590	77841245	77841320	77856732	77856873	137	104,88	112,101	122,102,83	162,128,90	239	213	0.507438698325	1.0	0.453,0.437	0.402,0.415,0.451	0.022
138	"ENSG00000102158.22"	"MAGT1"	chrX	-	77855500	77855590	77856732	77856873	77853900	77853964	77857356	77857497	138	326,272	153,124	411,355,228	202,159,117	290	239	0.755624169797	1.0	0.637,0.644	0.626,0.648,0.616	0.011
139	"ENSG00000102158.22"	"MAGT1"	chrX	-	77879568	77879613	77883932	77884028	77875427	77875597	77895308	77895431	139	5,2	4,6	10,5,10	1,2,8	245	194	0.0457414739997	0.36449272972419	0.497,0.209	0.888,0.664,0.497	-0.33
140	"ENSG00000102390.12"	"PBDC1"	chrX	+	76173584	76173650	76174889	76174949	76173039	76173168	76175472	76175613	140	82,51	118,85	78,81,46	118,126,88	215	209	0.725274842281	1.0	0.403,0.368	0.391,0.385,0.337	0.015
141	"ENSG00000147100.11"	"SLC16A2"	chrX	+	74524358	74524809	74525749	74525893	74520989	74521134	74529212	74529441	141	90,55	120,54	149,128,125	193,114,117	298	293	0.461987464982	0.9903195632258834	0.424,0.5	0.432,0.525,0.512	-0.028
142	"ENSG00000225470.10"	"JPX"	chrX	+	73944583	73944662	73994839	73994961	73944340	73944465	73998767	73998844	142	55,38	47,52	51,41,28	93,63,33	228	271	0.123484472891	0.5895722718900639	0.582,0.465	0.395,0.436,0.502	0.079
143	"ENSG00000225470.10"	"JPX"	chrX	+	73946998	73947374	73962730	73962801	73944583	73944662	73994839	73994961	143	41,39	4,5	50,34,27	7,4,4	298	220	0.666855104066	1.0	0.883,0.852	0.841,0.863,0.833	0.022
144	"ENSG00000225470.10"	"JPX"	chrX	+	73946998	73947374	73962734	73962801	73944583	73944662	73994839	73994961	144	41,39	1,2	50,34,27	6,3,2	298	216	0.0600232835524	0.42583110785704886	0.967,0.934	0.858,0.891,0.907	0.065
145	"ENSG00000225470.10"	"JPX"	chrX	+	73946998	73947374	73984443	73984541	73944583	73944662	73994839	73994961	145	41,39	4,9	50,34,27	14,21,12	298	247	0.00671061001001	0.12285044325221757	0.895,0.782	0.747,0.573,0.651	0.182
146	"ENSG00000225470.10"	"JPX"	chrX	+	73946998	73947374	73962730	73962801	73944583	73944662	73998767	73998844	146	37,35	3,1	50,35,23	4,2,3	298	220	0.401863244809	0.9438837782145617	0.901,0.963	0.902,0.928,0.85	0.039
147	"ENSG00000225470.10"	"JPX"	chrX	+	73946998	73947374	73962734	73962801	73944583	73944662	73998767	73998844	147	37,35	1,0	50,35,23	3,3,2	298	216	0.00912334011358	0.14827289590713127	0.964,1.0	0.924,0.894,0.893	0.078
148	"ENSG00000225470.10"	"JPX"	chrX	+	73946998	73947374	73984443	73984541	73944583	73944662	73998767	73998844	148	37,35	2,3	50,35,23	5,15,5	298	247	0.00818229699479	0.1387853506240898	0.939,0.906	0.892,0.659,0.792	0.141
149	"ENSG00000225470.10"	"JPX"	chrX	+	73946998	73947374	73994839	73994961	73944583	73944662	73998767	73998844	149	37,35	110,101	50,35,23	154,121,83	298	271	0.523918683608	1.0	0.234,0.24	0.228,0.208,0.201	0.025
150	"ENSG00000225470.10"	"JPX"	chrX	+	73946998	73947374	73994863	73994961	73944583	73944662	73998767	73998844	150	37,35	42,48	50,35,23	80,50,30	298	247	0.453501530067	0.9848539500105139	0.422,0.377	0.341,0.367,0.389	0.034
151	"ENSG00000225470.10"	"JPX"	chrX	+	73946998	73947374	73962734	73962801	73944583	73944662	73999354	74000496	151	37,35	0,0	47,33,23	3,2,1	298	216	0.0350190265974	0.3207291757428349	1.0,1.0	0.919,0.923,0.943	0.072
152	"ENSG00000225470.10"	"JPX"	chrX	+	73946998	73947374	73994839	73994961	73944583	73944662	73999354	74000496	152	37,35	56,47	47,33,23	59,55,48	298	271	0.636913675683	1.0	0.375,0.404	0.42,0.353,0.304	0.031
153	"ENSG00000225470.10"	"JPX"	chrX	+	73946998	73947374	73998767	73998844	73944583	73944662	73999354	74000496	153	37,35	5,1	47,33,23	0,2,5	298	226	0.665871550117	1.0	0.849,0.964	1.0,0.926,0.777	0.005
154	"ENSG00000225470.10"	"JPX"	chrX	+	73946998	73947374	73994839	73994961	73944583	73944662	74004269	74004551	154	36,35	61,51	47,33,23	62,60,48	298	271	0.808051812703	1.0	0.349,0.384	0.408,0.333,0.304	0.018
155	"ENSG00000225470.10"	"JPX"	chrX	+	73946998	73947374	73998767	73998844	73944583	73944662	74004269	74004551	155	36,35	12,12	47,33,23	7,5,6	298	226	0.050132564979	0.3863200238175984	0.695,0.689	0.836,0.833,0.744	-0.112
156	"ENSG00000225470.10"	"JPX"	chrX	+	73962730	73962801	73984443	73984541	73944583	73944662	73994839	73994961	156	4,5	4,9	7,4,4	14,21,12	220	247	0.168517011527	0.6704897433401271	0.529,0.384	0.36,0.176,0.272	0.187
157	"ENSG00000225470.10"	"JPX"	chrX	+	73962730	73962801	73984443	73984541	73944583	73944662	73998767	73998844	157	3,1	2,3	4,2,3	5,15,5	220	247	0.474540138084	0.9956106730529418	0.627,0.272	0.473,0.13,0.402	0.115
158	"ENSG00000225470.10"	"JPX"	chrX	+	73962730	73962801	73994839	73994961	73944583	73944662	73998767	73998844	158	3,1	110,101	4,2,3	154,121,83	220	271	0.492665439922	1.0	0.033,0.012	0.031,0.02,0.043	-0.009
159	"ENSG00000225470.10"	"JPX"	chrX	+	73962730	73962801	73994863	73994961	73944583	73944662	73998767	73998844	159	3,1	42,48	4,2,3	80,50,30	220	247	0.540828257824	1.0	0.074,0.023	0.053,0.043,0.101	-0.017
160	"ENSG00000225470.10"	"JPX"	chrX	+	73962730	73962801	73994839	73994961	73946998	73947374	73998767	73998844	160	3,0	52,55	2,2,1	95,64,37	220	271	0.949628985251	1.0	0.066,0.0	0.025,0.037,0.032	0.002
161	"ENSG00000225470.10"	"JPX"	chrX	+	73962734	73962801	73984443	73984541	73944583	73944662	73994839	73994961	161	1,2	4,9	6,3,2	14,21,12	216	247	0.589145933042	1.0	0.222,0.203	0.329,0.14,0.16	0.003
162	"ENSG00000225470.10"	"JPX"	chrX	+	73962734	73962801	73984443	73984541	73944583	73944662	73998767	73998844	162	1,0	2,3	3,3,2	5,15,5	216	247	0.0116686110876	0.16833873984801198	0.364,0.0	0.407,0.186,0.314	-0.12
163	"ENSG00000225470.10"	"JPX"	chrX	+	73962734	73962801	73994839	73994961	73944583	73944662	73998767	73998844	163	1,0	110,101	3,3,2	154,121,83	216	271	0.257363192054	0.7998094750915234	0.011,0.0	0.024,0.03,0.029	-0.022
164	"ENSG00000225470.10"	"JPX"	chrX	+	73962734	73962801	73994863	73994961	73944583	73944662	73998767	73998844	164	1,0	42,48	3,3,2	80,50,30	216	247	0.0345393555168	0.31881121254599476	0.027,0.0	0.041,0.064,0.071	-0.045
165	"ENSG00000225470.10"	"JPX"	chrX	+	73962734	73962801	73994839	73994961	73944583	73944662	73999354	74000496	165	0,0	56,47	3,2,1	59,55,48	216	271	0.220885945423	0.7486806666848523	0.0,0.0	0.06,0.044,0.025	-0.043
166	"ENSG00000225470.10"	"JPX"	chrX	+	73962734	73962801	73998767	73998844	73944583	73944662	73999354	74000496	166	0,0	5,1	3,2,1	0,2,5	216	226	3.4845271311e-05	0.0035125356719639053	0.0,0.0	1.0,0.511,0.173	-0.561
167	"ENSG00000225470.10"	"JPX"	chrX	+	73962734	73962801	73994839	73994961	73946998	73947374	73998767	73998844	167	3,0	52,55	0,3,2	95,64,37	216	271	0.929786221402	1.0	0.067,0.0	0.0,0.056,0.064	-0.006
168	"ENSG00000225470.10"	"JPX"	chrX	+	73984443	73984541	73994839	73994961	73944583	73944662	73998767	73998844	168	2,3	110,101	5,15,5	154,121,83	247	271	0.0073494781482	0.13078786420824737	0.02,0.032	0.034,0.12,0.062	-0.046
169	"ENSG00000225470.10"	"JPX"	chrX	+	73984443	73984541	73994863	73994961	73944583	73944662	73998767	73998844	169	2,3	42,48	5,15,5	80,50,30	247	247	0.0142239751053	0.18957761631975992	0.045,0.059	0.059,0.231,0.143	-0.092
170	"ENSG00000225470.10"	"JPX"	chrX	+	73994839	73994961	73998767	73998844	73944583	73944662	73998953	74000496	170	58,46	39,35	57,54,46	47,32,26	271	226	0.755515399648	1.0	0.554,0.523	0.503,0.585,0.596	-0.023
171	"ENSG00000225470.10"	"JPX"	chrX	+	73994839	73994961	73998767	73998844	73944583	73944662	73999354	74000496	171	56,47	5,1	59,55,48	0,2,5	271	226	0.545747071918	1.0	0.903,0.975	1.0,0.958,0.889	-0.01
172	"ENSG00000225470.10"	"JPX"	chrX	+	73994839	73994961	73998767	73998844	73944583	73944662	74004269	74004551	172	61,51	12,12	62,60,48	7,5,6	271	226	0.0291865569219	0.28985258604854625	0.809,0.78	0.881,0.909,0.87	-0.092
173	"ENSG00000225470.10"	"JPX"	chrX	+	73994839	73994961	73998767	73998844	73946998	73947374	74004269	74004551	173	9,8	8,9	7,7,6	9,5,4	271	226	0.840060294059	1.0	0.484,0.426	0.393,0.539,0.556	-0.041
177	"ENSG00000147099.21"	"HDAC8"	chrX	-	72488932	72489041	72495155	72495268	72464558	72464731	72567888	72568030	177	40,16	46,29	36,26,21	32,29,12	262	258	0.115605589066	0.5723993567946435	0.461,0.352	0.526,0.469,0.633	-0.136
178	"ENSG00000147099.21"	"HDAC8"	chrX	-	72488932	72489041	72495155	72495268	72473415	72474729	72567888	72568030	178	40,16	1,3	36,25,21	5,3,5	262	258	0.101671089777	0.5422150506950578	0.975,0.84	0.876,0.891,0.805	0.05
179	"ENSG00000147099.21"	"HDAC8"	chrX	-	72490928	72491006	72495155	72495268	72488932	72489041	72567888	72568030	179	49,23	31,18	39,37,25	23,16,23	262	227	0.717295263337	1.0	0.578,0.525	0.595,0.667,0.485	-0.031
180	"ENSG00000147099.21"	"HDAC8"	chrX	-	72495155	72495268	72567888	72568030	72488932	72489041	72572056	72572109	180	2,0	7,8	4,1,0	4,13,10	291	262	0.403766565722	0.945834575498524	0.205,0.0	0.474,0.065,0.0	-0.077
181	"ENSG00000147099.21"	"HDAC8"	chrX	-	72495155	72495268	72567888	72568030	72490928	72491006	72568753	72568884	181	79,45	45,43	78,68,61	47,42,37	291	262	0.455360559454	0.9856800092383144	0.612,0.485	0.599,0.593,0.597	-0.048
182	"ENSG00000147099.21"	"HDAC8"	chrX	-	72567888	72568030	72568753	72568884	72495155	72495268	72572056	72572109	182	65,37	50,21	59,74,29	46,46,29	280	291	0.675947022441	1.0	0.575,0.647	0.571,0.626,0.51	0.042
183	"ENSG00000147099.21"	"HDAC8"	chrX	-	72567888	72568030	72568753	72568884	72495155	72495268	72572650	72572843	183	2,0	48,21	0,0,0	44,45,30	280	291	0.399483432708	0.9415120848649585	0.042,0.0	0.0,0.0,0.0	0.021
184	"ENSG00000147099.21"	"HDAC8"	chrX	-	72567888	72568030	72572056	72572109	72495155	72495268	72572650	72572843	184	34,19	48,21	23,21,16	44,45,30	202	291	0.0949802128148	0.5242802925417305	0.505,0.566	0.43,0.402,0.434	0.113
185	"ENSG00000147099.21"	"HDAC8"	chrX	-	72568753	72568884	72572056	72572109	72495155	72495268	72572650	72572843	185	34,19	2,0	23,21,16	0,0,0	202	280	0.453913411169	0.9852110792707364	0.959,1.0	1.0,1.0,1.0	-0.02
186	"ENSG00000285547.1"	"ENSG00000285547"	chrX	-	72568753	72568884	72572056	72572109	72567888	72568030	72572650	72572843	186	35,17	81,40	22,17,10	79,66,59	202	280	0.0169251887133	0.2100989805921502	0.375,0.371	0.279,0.263,0.19	0.129
188	"ENSG00000147162.15"	"OGT"	chrX	+	71537828	71538072	71544566	71548023	71533086	71533336	71554512	71554592	188	1,0	240,194	2,1,2	457,370,309	298	298	1	1.0	0.004,0.0	0.004,0.003,0.006	-0.002
189	"ENSG00000147162.15"	"OGT"	chrX	+	71544566	71548023	71554512	71554592	71537828	71538072	71555953	71556094	189	178,132	32,20	283,271,170	98,70,41	298	229	0.00364013762005	0.08451380739728331	0.81,0.835	0.689,0.748,0.761	0.09
190	"ENSG00000147162.15"	"OGT"	chrX	+	71547906	71548023	71554512	71554592	71537828	71538072	71555953	71556094	190	4,0	32,20	3,2,1	98,70,41	266	229	0.376781420694	0.9203428652547043	0.097,0.0	0.026,0.024,0.021	0.025
191	"ENSG00000120509.12"	"PDZD11"	chrX	-	70286985	70287116	70287275	70287336	70281117	70282275	70287731	70287830	191	258,154	0,0	270,205,131	0,0,3	210	280	1	1.0	1.0,1.0	1.0,1.0,0.983	0.006
193	"ENSG00000235437.11"	"LINC01278"	chrX	-	63314996	63315107	63343205	63343289	63259667	63259817	63399780	63399903	193	1,0	0,0	1,1,0	3,1,0	233	260	1	1.0	1.0,NA	0.271,0.527,NA	0.601
194	"ENSG00000235437.11"	"LINC01278"	chrX	-	63432363	63432491	63509943	63510079	63399780	63399903	63516909	63517082	194	5,8	37,29	8,7,4	47,33,32	285	277	0.741049183647	1.0	0.116,0.211	0.142,0.171,0.108	0.023
195	"ENSG00000235437.11"	"LINC01278"	chrX	-	63443070	63443132	63509943	63510079	63432363	63432491	63516909	63517082	195	17,17	1,4	20,15,9	9,17,6	285	211	0.00119990064282	0.039897322626710106	0.926,0.759	0.622,0.395,0.526	0.328
196	"ENSG00000235437.11"	"LINC01278"	chrX	-	63509943	63510079	63516909	63517082	63432363	63432491	63560831	63561080	196	63,69	15,15	77,72,45	13,11,8	298	285	0.249140900679	0.7887233403129463	0.801,0.815	0.85,0.862,0.843	-0.044
